
 fun F-01 | d 10000 |

 m 100 | t 2.6985980898607522 | y 1888804624.0 | x [9 3 1 ... 1 3 8]
 m 600 | t 4.567007076926529 | y 1884741798.0 | x [5 4 3 ... 7 4 0]
 m 900 | t 5.6850424718577415 | y 1879874965.0 | x [8 9 9 ... 4 2 7]
 m 1000 | t 6.060562249040231 | y 1872891688.0 | x [9 7 1 ... 1 3 7]
 m 1200 | t 6.803668517852202 | y 1858748734.0 | x [9 2 3 ... 2 5 9]
 m 1400 | t 7.549423055024818 | y 1857466594.0 | x [1 2 6 ... 6 2 0]
 m 1500 | t 7.935441131005064 | y 1836708751.0 | x [ 9  5  0 ... 10  6  8]
 m 1800 | t 9.071770982816815 | y 1825767142.0 | x [8 1 5 ... 6 6 0]
 m 2200 | t 10.57153320289217 | y 1813921595.0 | x [ 1  2  1 ...  1 10  2]
 m 2400 | t 11.326078803045675 | y 1797371215.0 | x [ 4  0 10 ...  3  3  4]
 m 3000 | t 13.55016826884821 | y 1794121938.0 | x [ 9  1  6 ...  7  7 10]
 m 3200 | t 14.304223411018029 | y 1792540329.0 | x [6 2 5 ... 9 5 5]
 m 3400 | t 15.0642017100472 | y 1789892644.0 | x [ 2  4  6 ...  7 10  0]
 m 3500 | t 15.432230318896472 | y 1772764522.0 | x [ 9  0  6 ...  2  6 10]
 m 3900 | t 16.91835544281639 | y 1770299232.0 | x [0 1 5 ... 3 6 5]
 m 4100 | t 17.6547898480203 | y 1769198432.0 | x [9 2 8 ... 1 6 7]
 m 4300 | t 18.384702930925414 | y 1756702863.0 | x [ 5  0  5 ...  5  7 10]
 m 4500 | t 19.119480445981026 | y 1755722516.0 | x [ 9  5  2 ...  4  9 10]
 m 4600 | t 19.48549001896754 | y 1733469262.0 | x [ 2  6 10 ...  2  9 10]
 m 5600 | t 23.199923601932824 | y 1722179388.0 | x [9 5 7 ... 7 8 0]
 m 5800 | t 23.946290923980996 | y 1719825651.0 | x [ 9  2  3 ...  2  3 10]
 m 6300 | t 25.790753492852673 | y 1684615531.0 | x [ 9  0  6 ...  1 10  5]
 m 7800 | t 31.344529107911512 | y 1670551238.0 | x [ 6  0  3 ...  1  6 10]
 m 9900 | t 39.244245326844975 | y 1669028000.0 | x [ 8  4  5 ...  8  1 10]
 
 fun F-08 | d 10000 |

 m 100 | t 2.736744698137045 | y 58.57979720503591 | x [ 5  0  4 ...  6  4 10]
