
 fun P-01 | nbb 5 |

 m 700 | t 2.1602793730562553 | y 4.406155007168552 |
 m 1260 | t 2.2755817810539156 | y 2.741323998181053 |
 m 2520 | t 2.53395473503042 | y 2.6063019937953946 |
 m 2660 | t 2.5631275749765337 | y 1.882941969615793 |
 m 3360 | t 2.706721903057769 | y 0.9414709848078965 |
 m 3710 | t 2.7787392949685454 | y 0.7233600241796017 |
 m 6650 | t 3.374029516009614 | y 0.0 |

 fun P-02 | nbb 40 |

 m 80 | t 2.008218268980272 | y 6.815254027771969 |
 m 240 | t 2.0416137559805065 | y 5.4516229356554025 |
 m 320 | t 2.057669443078339 | y 4.978029812460711 |
 m 800 | t 2.153213110053912 | y 2.876346002566712 |
 m 2080 | t 2.4070302770705894 | y 1.4467200483592033 |
 m 3840 | t 2.7559959010686725 | y 0.9414709848078965 |
 m 4640 | t 2.9142870740033686 | y 0.7233600241796017 |
 m 5920 | t 3.1680936600314453 | y 0.0 |

 fun P-02 | nbb 45 |

 m 90 | t 2.05398837197572 | y 7.181535107074751 |
 m 270 | t 2.0950981489149854 | y 6.528746804498869 |
 m 360 | t 2.1128318239934742 | y 4.036558827652815 |
 m 900 | t 2.2168244119966403 | y 3.5997060267463135 |
 m 1080 | t 2.2514595260145143 | y 2.5232130375527584 |
 m 2430 | t 2.5104991329135373 | y 2.15298597838711 |
 m 2700 | t 2.5625864999601617 | y 2.0179639740014514 |
 m 3780 | t 2.769046147004701 | y 1.7998530133731567 |
 m 4230 | t 2.8554523189086467 | y 0.9414709848078965 |
 m 4680 | t 2.941692776978016 | y 0.7233600241796017 |
 m 8550 | t 3.6841757119400427 | y 0.0 |

 fun P-02 | nbb 50 |

 m 100 | t 2.0506061669439077 | y 10.214753050234211 |
 m 200 | t 2.070675906026736 | y 8.476769936546512 |
 m 300 | t 2.0897227990208194 | y 6.091894003592369 |
 m 400 | t 2.1087862820131704 | y 5.483278876012019 |
 m 1300 | t 2.278262979001738 | y 3.952838991760267 |
 m 1500 | t 2.3158638200256974 | y 3.765883939231586 |
 m 2400 | t 2.484397990978323 | y 2.1700800725388047 |
 m 3600 | t 2.7058857299853116 | y 1.7998530133731567 |
 m 4300 | t 2.8375398049829528 | y 0.7233600241796017 |
 m 5200 | t 3.0066876990022138 | y 0.0 |

 fun P-03 | nbb 5 |

 m 100 | t 2.1971417459426448 | y -1.5428112031918877e-13 |
 m 200 | t 2.203913760953583 | y -2.061153622438558e-09 |
 m 300 | t 2.2097881770459935 | y -8.315287191035679e-07 |
 m 500 | t 2.221341217053123 | y -0.00012340980408667956 |
 m 700 | t 2.233527034986764 | y -0.004086771438464067 |
 m 900 | t 2.244597550947219 | y -0.011108996538242306 |
 m 1000 | t 2.2501089789438993 | y -0.01831563888873418 |
 m 1100 | t 2.255694005987607 | y -0.1353352832366127 |
 m 1900 | t 2.2998104670550674 | y -0.22313016014842982 |
 m 2400 | t 2.328002128051594 | y -0.36787944117144233 |
 m 3500 | t 2.389916416024789 | y -0.6065306597126334 |
 m 4800 | t 2.4629055679542944 | y -1.0 |

 fun P-03 | nbb 10 |

 m 100 | t 2.061103607993573 | y -6.82560337633487e-08 |
 m 800 | t 2.111005575978197 | y -5.04347662567888e-07 |
 m 900 | t 2.118239886010997 | y -0.00033546262790251185 |
 m 1200 | t 2.139525918988511 | y -0.0005530843701478336 |
 m 1500 | t 2.1607999089173973 | y -0.011108996538242306 |
 m 1700 | t 2.1752683299127966 | y -0.0820849986238988 |
 m 2400 | t 2.224744862993248 | y -0.22313016014842982 |
 m 3500 | t 2.302576054004021 | y -0.36787944117144233 |
 m 3900 | t 2.330907750991173 | y -0.6065306597126334 |
 m 4900 | t 2.401349177933298 | y -1.0 |

 fun P-03 | nbb 15 |

 m 90 | t 2.071060343994759 | y -3.1391327920480296e-17 |
 m 180 | t 2.080892194993794 | y -9.357622968840175e-14 |
 m 270 | t 2.089659087941982 | y -2.7536449349747158e-05 |
 m 630 | t 2.124230310902931 | y -0.00012340980408667956 |
 m 900 | t 2.1499329989310354 | y -0.00033546262790251185 |
 m 990 | t 2.1585993519984186 | y -0.006737946999085467 |
 m 1350 | t 2.1926895439391956 | y -0.1353352832366127 |
 m 2160 | t 2.2693056949647143 | y -0.22313016014842982 |
 m 2340 | t 2.2864252669969574 | y -0.6065306597126334 |
 m 2700 | t 2.3205662159016356 | y -1.0 |

 fun P-03 | nbb 20 |

 m 100 | t 2.0706130869220942 | y -6.387142293058423e-21 |
 m 200 | t 2.082005532924086 | y -6.305116760146989e-16 |
 m 300 | t 2.0923544419929385 | y -2.0879679116459336e-14 |
 m 400 | t 2.102605866966769 | y -6.914400106940203e-13 |
 m 500 | t 2.112827595905401 | y -2.289734845645553e-11 |
 m 600 | t 2.1230471099261194 | y -0.00012340980408667956 |
 m 1200 | t 2.1838584690121934 | y -0.0015034391929775724 |
 m 1800 | t 2.2443532679462805 | y -0.006737946999085467 |
 m 2200 | t 2.285156413912773 | y -0.0301973834223185 |
 m 2400 | t 2.305396926938556 | y -0.0820849986238988 |
 m 2900 | t 2.3556959269335493 | y -0.36787944117144233 |
 m 3900 | t 2.4564176199492067 | y -0.6065306597126334 |
 m 5100 | t 2.5729663079837337 | y -1.0 |

 fun P-03 | nbb 25 |

 m 100 | t 2.180198588059284 | y -5.109089028063325e-12 |
 m 500 | t 2.227663610014133 | y -2.061153622438558e-09 |
 m 600 | t 2.2393246450228617 | y -1.3709590863840845e-06 |
 m 900 | t 2.27258991508279 | y -0.00012340980408667956 |
 m 1100 | t 2.294497254071757 | y -0.049787068367863944 |
 m 1500 | t 2.3389712520875037 | y -0.6065306597126334 |
 m 5500 | t 2.7937702810158953 | y -1.0 |

 fun P-03 | nbb 30 |

 m 90 | t 2.0888111719395965 | y -3.775134544279098e-11 |
 m 630 | t 2.167772223940119 | y -2.2603294069810542e-06 |
 m 1170 | t 2.245624615927227 | y -2.7536449349747158e-05 |
 m 1350 | t 2.271656145923771 | y -7.48518298877006e-05 |
 m 1890 | t 2.350604823906906 | y -0.0009118819655545162 |
 m 2340 | t 2.415590778924525 | y -0.006737946999085467 |
 m 2430 | t 2.4286337610101327 | y -0.1353352832366127 |
 m 2700 | t 2.467520526959561 | y -0.22313016014842982 |
 m 4230 | t 2.6867774109123275 | y -0.36787944117144233 |
 m 5310 | t 2.842116121901199 | y -0.6065306597126334 |
 m 6300 | t 2.984259021934122 | y -1.0 |

 fun P-03 | nbb 35 |

 m 70 | t 2.034480036003515 | y -1.2501528663867426e-09 |
 m 350 | t 2.094309785985388 | y -1.8553913626159784e-07 |
 m 490 | t 2.1232246960280463 | y -5.04347662567888e-07 |
 m 700 | t 2.166554798022844 | y -2.2603294069810542e-06 |
 m 980 | t 2.2248675449518487 | y -4.5399929762484854e-05 |
 m 1260 | t 2.282440399983898 | y -0.0024787521766663585 |
 m 1540 | t 2.340112091973424 | y -0.004086771438464067 |
 m 2310 | t 2.4983460169751197 | y -0.0301973834223185 |
 m 4060 | t 2.857192032970488 | y -0.049787068367863944 |
 m 4340 | t 2.915188601007685 | y -0.1353352832366127 |
 m 5810 | t 3.2170834799762815 | y -0.22313016014842982 |
 m 5880 | t 3.2316701950039715 | y -0.36787944117144233 |
 m 8960 | t 3.8626555979717523 | y -0.6065306597126334 |

 fun P-03 | nbb 40 |

 m 80 | t 2.014287483994849 | y -1.8553913626159784e-07 |
 m 240 | t 2.047246214002371 | y -4.5399929762484854e-05 |
 m 1200 | t 2.237214848981239 | y -0.004086771438464067 |
 m 1680 | t 2.331902344012633 | y -0.0301973834223185 |
 m 3680 | t 2.72499116207473 | y -0.049787068367863944 |
 m 3840 | t 2.7567637260071933 | y -0.0820849986238988 |
 m 4160 | t 2.8201156760333106 | y -1.0 |

 fun P-03 | nbb 45 |

 m 90 | t 2.0393909859703854 | y -5.175555005801869e-17 |
 m 180 | t 2.0577591030159965 | y -4.658886145103398e-15 |
 m 270 | t 2.075377810979262 | y -1.8553913626159784e-07 |
 m 720 | t 2.1617127270437777 | y -0.00012340980408667956 |
 m 900 | t 2.1965678490232676 | y -0.0015034391929775724 |
 m 1350 | t 2.283009518054314 | y -0.0301973834223185 |
 m 1620 | t 2.335374188958667 | y -0.049787068367863944 |
 m 3150 | t 2.628619977971539 | y -1.0 |

 fun P-03 | nbb 50 |

 m 100 | t 2.1331172920763493 | y -3.059023205018258e-07 |
 m 300 | t 2.171675125020556 | y -0.00033546262790251185 |
 m 1500 | t 2.3956695810193196 | y -0.049787068367863944 |
 m 5200 | t 3.0870124130742624 | y -0.6065306597126334 |

 fun P-04 | nbb 5 |

 m 100 | t 2.078282110975124 | y 0.5896025141859672 |
 m 300 | t 2.0914085910189897 | y 0.534260631913299 |
 m 400 | t 2.09734139603097 | y 0.21895507242777024 |
 m 600 | t 2.1090412250487134 | y 0.21207820618533346 |
 m 1500 | t 2.160763780004345 | y 0.1393649140482789 |
 m 2000 | t 2.189397298032418 | y 0.13547895777382712 |
 m 2200 | t 2.2009129780344665 | y 0.11410897132953679 |
 m 2600 | t 2.22400986996945 | y 0.11314550373116194 |
 m 2800 | t 2.2354733699467033 | y 0.09620749545486762 |
 m 3000 | t 2.246967748971656 | y 0.024568463628673376 |
 m 5800 | t 2.4060927809914574 | y 0.023510585308394893 |
 m 5900 | t 2.4120177919976413 | y 0.0 |

 fun P-04 | nbb 10 |

 m 100 | t 2.062863409984857 | y 0.6243932016343046 |
 m 200 | t 2.0712757719447836 | y 0.47125406667988023 |
 m 400 | t 2.0856571389595047 | y 0.4517263683219712 |
 m 500 | t 2.092806988977827 | y 0.4188167543677922 |
 m 900 | t 2.122030444908887 | y 0.37103197755135686 |
 m 1300 | t 2.1513888959307224 | y 0.32120543745822805 |
 m 1400 | t 2.158909457968548 | y 0.17957182573242203 |
 m 2400 | t 2.2315418949583545 | y 0.10598160399165646 |
 m 3400 | t 2.3043649619212374 | y 0.06202405426610458 |
 m 4200 | t 2.3625329450005665 | y 0.0572309812711117 |
 m 4300 | t 2.3699483489617705 | y 0.04661273799097454 |
 m 4900 | t 2.413606740999967 | y 0.0 |

 fun P-04 | nbb 15 |

 m 90 | t 2.0413449470652267 | y 0.5742022058265912 |
 m 360 | t 2.0690227950690314 | y 0.3740643040691367 |
 m 630 | t 2.095718592987396 | y 0.2622990524831512 |
 m 1980 | t 2.227757468004711 | y 0.11280023177703813 |
 m 4320 | t 2.4516560919582844 | y 0.050856274817464575 |
 m 7020 | t 2.7136604039696977 | y 0.041877494289822015 |
 m 7200 | t 2.731478589004837 | y 0.031164856674817054 |
 m 7380 | t 2.74913859507069 | y 0.023510585308394893 |
 m 7920 | t 2.8015900399768725 | y 0.0 |

 fun P-04 | nbb 20 |

 m 100 | t 2.1697239589411765 | y 0.815506293217793 |
 m 300 | t 2.192058257991448 | y 0.4554248156533751 |
 m 500 | t 2.2128859430085868 | y 0.365159413344757 |
 m 1500 | t 2.3166684929747134 | y 0.2369208384379411 |
 m 2500 | t 2.4188906479394063 | y 0.11461092856563926 |
 m 4100 | t 2.58504139597062 | y 0.09433750154209153 |
 m 4300 | t 2.6058709339704365 | y 0.074928687126945 |
 m 6500 | t 2.8333795350044966 | y 0.06126200357421008 |
 m 6900 | t 2.8751306060003117 | y 0.041877494289822015 |
 m 9300 | t 3.122565274941735 | y 0.024568463628673376 |
 m 9800 | t 3.1726935009937733 | y 0.0 |

 fun P-04 | nbb 25 |

 m 100 | t 2.0641001319745556 | y 0.6407128094660164 |
 m 200 | t 2.077076507965103 | y 0.580674918967581 |
 m 400 | t 2.1008011189987883 | y 0.5123991305768983 |
 m 500 | t 2.1127678819466382 | y 0.5119624405764895 |
 m 1000 | t 2.172012674040161 | y 0.23004193782295135 |
 m 1200 | t 2.195682261022739 | y 0.19360046824415866 |
 m 3400 | t 2.45399643399287 | y 0.15811169812526782 |
 m 5200 | t 2.6655612799804658 | y 0.10530358063867074 |
 m 6300 | t 2.795004718005657 | y 0.03590709735300279 |

 fun P-04 | nbb 30 |

 m 90 | t 2.0916825600434095 | y 0.8321749026832153 |
 m 180 | t 2.1063893530517817 | y 0.7513608430023465 |
 m 360 | t 2.133540423004888 | y 0.586749749337675 |
 m 450 | t 2.1468522540526465 | y 0.5747400343985309 |
 m 810 | t 2.1981761649949476 | y 0.34190845258391445 |
 m 1080 | t 2.238353956025094 | y 0.2622063753886018 |
 m 4950 | t 2.814425499062054 | y 0.23164472042777184 |
 m 5130 | t 2.841431244974956 | y 0.07229835266484386 |

 fun P-04 | nbb 35 |

 m 70 | t 2.030964568024501 | y 0.24123198644721633 |
 m 1820 | t 2.4047406300669536 | y 0.1796404583385891 |

 fun P-04 | nbb 40 |

 m 80 | t 2.0139611549675465 | y 0.855085831633281 |
 m 160 | t 2.031551979947835 | y 0.794013321039309 |
 m 240 | t 2.0483721849741414 | y 0.2348099932581531 |
 m 9440 | t 3.9440903939539567 | y 0.16662129999035824 |

 fun P-04 | nbb 45 |

 m 90 | t 2.146912678028457 | y 0.7975261165646036 |
 m 180 | t 2.1660416360246018 | y 0.5010280022910537 |
 m 270 | t 2.1844245210522786 | y 0.2609854461469223 |
 m 630 | t 2.25641832803376 | y 0.2600983827239166 |
 m 2250 | t 2.5784411759814247 | y 0.2578885011163937 |
 m 4590 | t 3.044651036034338 | y 0.24534170137703226 |

 fun P-04 | nbb 50 |

 m 100 | t 2.0381769170053303 | y 0.8480885493611547 |
 m 200 | t 2.0588284390978515 | y 0.7421501319805064 |
 m 400 | t 2.0982467520516366 | y 0.2943924973880907 |
 m 1200 | t 2.254324001027271 | y 0.23566690891470987 |
 m 1500 | t 2.3132105950498953 | y 0.20260776168451755 |
 m 4200 | t 2.838739527040161 | y 0.11387751331160312 |

 fun P-05 | nbb 5 |

 m 100 | t 2.072141051059589 | y -2.1373766191414196 |
 m 200 | t 2.078969563008286 | y -2.4489804510229307 |
 m 400 | t 2.090999416075647 | y -3.517656763052589 |
 m 1200 | t 2.137327736010775 | y -3.5540189052260516 |
 m 1800 | t 2.172320417012088 | y -3.8372010400792895 |
 m 2600 | t 2.2182183919940144 | y -3.8372010400793535 |
 m 3200 | t 2.252614514087327 | y -3.83720958702994 |
 m 3700 | t 2.2819110970012844 | y -3.883898845664475 |
 m 3900 | t 2.293524170992896 | y -4.034131358133101 |

 fun P-05 | nbb 10 |

 m 100 | t 2.062738834065385 | y -2.237955411426224 |
 m 400 | t 2.085841897991486 | y -2.4033037000856585 |
 m 600 | t 2.100824714056216 | y -2.9534449564678336 |
 m 700 | t 2.1082572400337085 | y -3.424225339331674 |
 m 1200 | t 2.145071702077985 | y -3.823482475616157 |
 m 2500 | t 2.239975046017207 | y -3.8976174101276264 |
 m 2800 | t 2.26194195903372 | y -4.02041279366995 |
 m 3000 | t 2.2767860509920865 | y -4.034131358133101 |

 fun P-05 | nbb 15 |

 m 90 | t 2.0440445890417323 | y -1.7405569639495195 |
 m 180 | t 2.053980547003448 | y -2.3005142819833155 |
 m 270 | t 2.063009847071953 | y -2.754218923891143 |
 m 810 | t 2.1141811680281535 | y -3.455928507912348 |
 m 990 | t 2.1320114970440045 | y -3.5316481742466164 |
 m 1800 | t 2.211224565980956 | y -3.8976174101276264 |
 m 3060 | t 2.3338739570463076 | y -4.02041279366995 |
 m 4050 | t 2.4301941150333732 | y -4.034131358133101 |

 fun P-05 | nbb 20 |

 m 100 | t 2.1761325859697536 | y -2.059318329164058 |
 m 200 | t 2.18766668101307 | y -2.817506860693873 |
 m 400 | t 2.2088783130748197 | y -2.822317114785882 |
 m 800 | t 2.2508369570132345 | y -3.0392610728996217 |
 m 1000 | t 2.271907121059485 | y -3.172633758622374 |
 m 1700 | t 2.3444289370672777 | y -3.4948619000928907 |
 m 1800 | t 2.3549240140710026 | y -3.8230329357077335 |
