
 fun P-01 | d 10000 |

 m 7900 | t 36.11993383592926 | y -481.6803306228307 | x [ 2  1  2 ...  1  9 10]
 m 8500 | t 38.68703381391242 | y -499.1257861512291 | x [3 4 7 ... 7 6 9]
 m 9000 | t 40.84309650596697 | y -504.9408352607926 | x [0 7 7 ... 6 2 4]
 m 10000 | t 44.9879823239753 | y -504.9408352607926 | x [0 7 7 ... 6 2 4]

 fun P-07 | d 10000 |

 m 100 | t 2.674095391994342 | y 329824597809.0 | x [ 7  1  6 ...  2  6 10]
 m 300 | t 3.368582120980136 | y 329789488972.0 | x [ 4 10  9 ...  2  8  6]
 m 500 | t 4.0653844740008935 | y 329787746587.0 | x [10  8  1 ...  6  2  1]
 m 700 | t 4.7657332150265574 | y 329756402288.0 | x [9 5 8 ... 2 3 9]
 m 1000 | t 5.80340569303371 | y 329752721918.0 | x [ 7 10  9 ...  0  8  0]
 m 1200 | t 6.495619405992329 | y 329751474678.0 | x [6 1 1 ... 4 7 7]
 m 1300 | t 6.843751322943717 | y 329749337420.0 | x [10  4  7 ...  0  2  1]
 m 1400 | t 7.19719052198343 | y 329735416855.0 | x [ 3  1  1 ...  8 10  9]
 m 1500 | t 7.547041203943081 | y 329696989101.0 | x [10 10  4 ...  5  3  4]
 m 2000 | t 9.28344654198736 | y 329685310019.0 | x [6 3 7 ... 0 4 0]
 m 2200 | t 9.975447412929498 | y 329684545387.0 | x [ 2 10 10 ...  1  3 10]
 m 2400 | t 10.65992303204257 | y 329681762379.0 | x [3 4 6 ... 5 3 7]
 m 2600 | t 11.34397640102543 | y 329656075219.0 | x [5 4 2 ... 8 8 8]
 m 3000 | t 12.708893637987785 | y 329634473732.0 | x [ 6  7  1 ...  8  8 10]
 m 3200 | t 13.39001079602167 | y 329624091075.0 | x [ 4 10 10 ...  9  9  2]
 m 3500 | t 14.4169511400396 | y 329600617341.0 | x [4 1 4 ... 4 6 8]
 m 3800 | t 15.453711890964769 | y 329595135039.0 | x [ 4 10  9 ...  2 10  4]
 m 4000 | t 16.137034266022965 | y 329574560928.0 | x [4 1 4 ... 0 4 2]
 m 4600 | t 18.205842031980865 | y 329567993354.0 | x [4 5 3 ... 2 6 2]
 m 5000 | t 19.630072803003713 | y 329560250996.0 | x [ 8  4  3 ...  3 10 10]
 m 5500 | t 21.351910431985743 | y 329546245340.0 | x [ 8 10  7 ...  0  0  6]
 m 5700 | t 22.036697361036204 | y 329532183245.0 | x [ 4  5 10 ...  8  4  0]
 m 6200 | t 23.748831392964348 | y 329520429737.0 | x [ 5  5  3 ...  9 10  2]
 m 6400 | t 24.444732230040245 | y 329505035431.0 | x [4 5 6 ... 7 4 1]
 m 7000 | t 26.53521160001401 | y 329504054107.0 | x [ 8 10  4 ...  3  8  7]
 m 7300 | t 27.58682016201783 | y 329500109257.0 | x [ 5 10  1 ... 10  9  6]
 m 7700 | t 28.983132858993486 | y 329481875938.0 | x [5 4 7 ... 8 5 5]
 m 8400 | t 31.405475817038678 | y 329468627659.0 | x [5 4 7 ... 6 5 3]
 m 9900 | t 36.600898102042265 | y 329467697978.0 | x [ 7 10  3 ...  9  9  2]
 m 10000 | t 36.7966326889582 | y 329467697978.0 | x [ 7 10  3 ...  9  9  2]

 fun P-08 | d 10000 |

 m 100 | t 2.611814522999339 | y 336651.0 | x [9 3 1 ... 1 3 8]
 m 1200 | t 6.614861061912961 | y 335274.0 | x [10  2  3 ...  2  5  7]
 m 1300 | t 6.982316585956141 | y 334276.0 | x [ 2  0  9 ... 10  1  2]
 m 1400 | t 7.349063717992976 | y 332188.0 | x [1 3 8 ... 5 1 0]
 m 1800 | t 8.806993181002326 | y 331326.0 | x [8 1 6 ... 4 6 0]
 m 1900 | t 9.171330578974448 | y 330629.0 | x [4 7 5 ... 2 1 3]
 m 2200 | t 10.263081426965073 | y 327723.0 | x [ 0  3  1 ...  1 10  1]
 m 3000 | t 13.144175370922312 | y 326334.0 | x [8 1 8 ... 6 6 9]
 m 3400 | t 14.592802035971545 | y 325333.0 | x [5 0 0 ... 6 5 0]
 m 3500 | t 14.963752057985403 | y 323829.0 | x [9 0 8 ... 1 5 9]
 m 4100 | t 17.124077558983117 | y 322074.0 | x [9 3 9 ... 1 6 5]
 m 4300 | t 17.84458952699788 | y 321149.0 | x [4 1 7 ... 3 6 9]
 m 4500 | t 18.56635565997567 | y 320456.0 | x [9 3 8 ... 9 4 7]
 m 4600 | t 18.93379351089243 | y 319326.0 | x [ 1  8 10 ...  1  8 10]
 m 4700 | t 19.295177114894614 | y 319039.0 | x [9 1 0 ... 3 2 5]
 m 5100 | t 20.73455141694285 | y 316685.0 | x [0 1 8 ... 4 5 2]
 m 5800 | t 23.274863124941476 | y 315755.0 | x [9 3 3 ... 1 3 9]
 m 6300 | t 25.08548023388721 | y 311994.0 | x [ 9  0  8 ...  1 10  3]
 m 8600 | t 33.56145397189539 | y 310564.0 | x [6 8 6 ... 2 5 3]
 m 10000 | t 38.56758131296374 | y 310564.0 | x [6 8 6 ... 2 5 3]

 fun P-09 | d 10000 |

 m 100 | t 2.695988290011883 | y 4893.180597180358 | x [3 0 6 ... 8 8 4]
 m 200 | t 3.0740493499906734 | y 4886.0808345944415 | x [ 8 10  9 ...  5  9 10]
