fun P-01 | nbb 5 |

 m 360 | t 2.138946432969533 | y 4.510151950847506 |
 m 450 | t 2.171621061046608 | y 2.6063019937953946 |
 m 855 | t 2.3181533260503784 | y 2.3881910331671 |
 m 1035 | t 2.383314835955389 | y 2.3881910331671 |

 fun P-02 | nbb 50 |

 m 50 | t 2.285626578028314 | y 7.181535107074751 |
 m 150 | t 2.3254550030687824 | y 6.559771865205574 |
 m 200 | t 2.3434352830518037 | y 4.406155007168551 |
 m 750 | t 2.537814549054019 | y 4.037189707302727 |
 m 800 | t 2.5556670980295166 | y 2.3881910331671 |
 m 1000 | t 2.6261221420718357 | y 2.3881910331671 |

 fun P-03 | nbb 5 |

 m 5 | t 2.059138426091522 | y -8.315287191035679e-07 |
 m 15 | t 2.07217360206414 | y -6.14421235332821e-06 |
 m 20 | t 2.077791651012376 | y -7.48518298877006e-05 |
 m 25 | t 2.0833967650542036 | y -0.0005530843701478336 |
 m 55 | t 2.1160984050948173 | y -0.0009118819655545162 |
 m 75 | t 2.13779789803084 | y -0.0015034391929775724 |
 m 85 | t 2.148681128048338 | y -0.0820849986238988 |
 m 120 | t 2.186727988999337 | y -0.22313016014842982 |
 m 150 | t 2.2192090910393745 | y -0.36787944117144233 |
 m 190 | t 2.262392599019222 | y -1.0 |
 m 1000 | t 3.1326137520372868 | y -1.0 |

 fun P-03 | nbb 10 |

 m 10 | t 2.0472082239575684 | y -1.5628821893349888e-18 |
 m 20 | t 2.0562327839434147 | y -1.5428112031918877e-13 |
 m 40 | t 2.0701154939597473 | y -3.0988191387218256e-12 |
 m 50 | t 2.0770738419378176 | y -3.726653172078671e-06 |
 m 90 | t 2.104429385974072 | y -4.5399929762484854e-05 |
 m 110 | t 2.118159878998995 | y -0.006737946999085467 |
 m 160 | t 2.152250787941739 | y -0.011108996538242306 |
 m 180 | t 2.165914493962191 | y -0.0301973834223185 |
 m 220 | t 2.193130093975924 | y -0.0820849986238988 |
 m 260 | t 2.220470739994198 | y -0.22313016014842982 |
 m 350 | t 2.2815582240000367 | y -0.36787944117144233 |
 m 380 | t 2.3019758999580517 | y -0.6065306597126334 |
 m 440 | t 2.342626441968605 | y -1.0 |
 m 1000 | t 2.721016488969326 | y -1.0 |

 fun P-03 | nbb 15 |

 m 15 | t 2.0219175290549174 | y -2.3195228302435696e-16 |
 m 30 | t 2.0319508800748736 | y -2.289734845645553e-11 |
 m 45 | t 2.04029029305093 | y -0.00012340980408667956 |
 m 180 | t 2.1138750640675426 | y -0.22313016014842982 |
 m 390 | t 2.227914144983515 | y -0.6065306597126334 |
 m 840 | t 2.471403244067915 | y -1.0 |
 m 1005 | t 2.560608015046455 | y -1.0 |

 fun P-03 | nbb 20 |

 m 20 | t 2.051091447006911 | y -1.8795288165390832e-12 |
 m 60 | t 2.072420599986799 | y -9.237449661970594e-09 |
 m 80 | t 2.0821918440051377 | y -0.00012340980408667956 |
 m 100 | t 2.0919847290497273 | y -0.0009118819655545162 |
 m 120 | t 2.1017471570521593 | y -0.004086771438464067 |
 m 200 | t 2.1404288100311533 | y -0.1353352832366127 |
 m 380 | t 2.227145479992032 | y -0.36787944117144233 |
 m 960 | t 2.506474510068074 | y -1.0 |
 m 1000 | t 2.525669731083326 | y -1.0 |

 fun P-03 | nbb 25 |

 m 25 | t 2.2989600190194324 | y -1.7587922024243116e-25 |
 m 50 | t 2.311771752079949 | y -3.442477108469977e-14 |
 m 75 | t 2.3229685650439933 | y -2.7894680928689246e-10 |
 m 125 | t 2.3448637999827042 | y -2.510999155743982e-08 |
 m 225 | t 2.3887435470242053 | y -3.726653172078671e-06 |
 m 275 | t 2.410551595967263 | y -4.5399929762484854e-05 |
 m 300 | t 2.421512834029272 | y -7.48518298877006e-05 |
 m 400 | t 2.465438007027842 | y -0.01831563888873418 |
 m 600 | t 2.552465867018327 | y -0.049787068367863944 |
 m 675 | t 2.5851074010133743 | y -0.36787944117144233 |
 m 1000 | t 2.726112419972196 | y -0.36787944117144233 |

 fun P-03 | nbb 30 |

 m 30 | t 2.069403255940415 | y -3.775134544279098e-11 |
 m 120 | t 2.1086901660310104 | y -3.398267819495071e-09 |
 m 180 | t 2.1335063820006326 | y -3.059023205018258e-07 |
 m 210 | t 2.146015441045165 | y -6.14421235332821e-06 |
 m 270 | t 2.1707213380141184 | y -4.5399929762484854e-05 |
 m 480 | t 2.257173607009463 | y -0.00020346836901064417 |
 m 690 | t 2.3435156169580296 | y -0.0005530843701478336 |
 m 810 | t 2.393046817043796 | y -0.006737946999085467 |
 m 1020 | t 2.4791472000069916 | y -0.0301973834223185 |

 fun P-03 | nbb 35 |

 m 35 | t 2.0224234679481015 | y -8.315287191035679e-07 |
 m 105 | t 2.0519466679543257 | y -7.48518298877006e-05 |
 m 280 | t 2.120472308015451 | y -0.00020346836901064417 |
 m 385 | t 2.1619326940272003 | y -0.0009118819655545162 |
 m 770 | t 2.3123771579703316 | y -0.0301973834223185 |
 m 1015 | t 2.4084624600363895 | y -0.0301973834223185 |

 fun P-03 | nbb 40 |

 m 40 | t 1.9956493149511516 | y -1.2501528663867426e-09 |
 m 120 | t 2.0278154698899016 | y -1.670170079024566e-05 |
 m 440 | t 2.147906201891601 | y -0.01831563888873418 |
 m 600 | t 2.2079689849633723 | y -0.22313016014842982 |
 m 1000 | t 2.358125915983692 | y -0.22313016014842982 |

 fun P-03 | nbb 45 |

 m 45 | t 2.249041155911982 | y -7.681204685202095e-15 |
 m 90 | t 2.2674107239581645 | y -4.1937956583795446e-13 |
 m 135 | t 2.2840297059156 | y -1.522997974471263e-08 |
 m 225 | t 2.3169692049268633 | y -1.1253517471925912e-07 |
 m 270 | t 2.3335753629216924 | y -1.8553913626159784e-07 |
 m 360 | t 2.367218814906664 | y -3.726653172078671e-06 |
 m 495 | t 2.416363803902641 | y -0.0005530843701478336 |
 m 945 | t 2.5808393489569426 | y -0.006737946999085467 |
 m 1035 | t 2.6135844009695575 | y -0.006737946999085467 |

 fun P-03 | nbb 50 |

 m 50 | t 2.0387915550963953 | y -3.059023205018258e-07 |
 m 350 | t 2.152576556080021 | y -1.013009359863071e-05 |
 m 400 | t 2.1706406651064754 | y -4.5399929762484854e-05 |
 m 600 | t 2.2418583940016106 | y -7.48518298877006e-05 |
 m 750 | t 2.295236939098686 | y -0.00033546262790251185 |
 m 850 | t 2.330687634064816 | y -0.0009118819655545162 |
 m 900 | t 2.348522158106789 | y -0.0301973834223185 |
 m 1000 | t 2.3838228890672326 | y -0.0301973834223185 |

 fun P-04 | nbb 5 |

 m 5 | t 2.069328845012933 | y 0.7558216023428543 |
 m 15 | t 2.0824768140446395 | y 0.5782226406328345 |
 m 20 | t 2.0881887909490615 | y 0.5031629877393664 |
 m 30 | t 2.0993795739486814 | y 0.4302150346907436 |
 m 45 | t 2.116116388933733 | y 0.42694856330099573 |
 m 50 | t 2.1217398890294135 | y 0.18576346606698668 |
 m 90 | t 2.165900978958234 | y 0.1684464004162094 |
 m 105 | t 2.1827527519781142 | y 0.1653871763007949 |
 m 110 | t 2.188376341946423 | y 0.05873834578168036 |
 m 165 | t 2.2488342239521444 | y 0.03603802180234661 |
 m 250 | t 2.3424528340110555 | y 0.023510585308394893 |
 m 315 | t 2.413836466963403 | y 0.0 |
 m 1000 | t 3.161091923015192 | y 0.0 |

 fun P-04 | nbb 10 |

 m 10 | t 2.0491977019701153 | y 0.545016416060238 |
 m 40 | t 2.0722463199635968 | y 0.491222453085566 |
 m 50 | t 2.0795651510125026 | y 0.36187312285645157 |
 m 90 | t 2.107585723977536 | y 0.25377930766315104 |
 m 170 | t 2.163261831039563 | y 0.19763906137776988 |
 m 320 | t 2.2674103929894045 | y 0.10438860417058093 |
 m 460 | t 2.3644248540513217 | y 0.09433750154209153 |
 m 540 | t 2.4198999099899083 | y 0.0572309812711117 |
 m 620 | t 2.4754235580330715 | y 0.031164856674817054 |
 m 670 | t 2.510095036937855 | y 0.024568463628673376 |
 m 710 | t 2.5380031779641286 | y 0.0 |
 m 1000 | t 2.7385517780203372 | y 0.0 |

 fun P-04 | nbb 15 |

 m 15 | t 2.029332692036405 | y 0.35967038846734145 |
 m 60 | t 2.0565492439782247 | y 0.32632457385233504 |
 m 180 | t 2.123549746000208 | y 0.27697795800156655 |
 m 195 | t 2.1321565450634807 | y 0.23427205423982012 |
 m 255 | t 2.165621508960612 | y 0.18532025530011953 |
 m 270 | t 2.174114061985165 | y 0.1525802125387713 |
 m 435 | t 2.265966859064065 | y 0.13506480303860935 |
 m 450 | t 2.274452188052237 | y 0.12723787730857106 |
 m 510 | t 2.3079717659857124 | y 0.041877494289822015 |
 m 645 | t 2.3829530410002917 | y 0.031164856674817054 |
 m 930 | t 2.541478730039671 | y 0.023510585308394893 |
 m 1005 | t 2.583242058986798 | y 0.023510585308394893 |

 fun P-04 | nbb 20 |

 m 20 | t 2.3108872370794415 | y 0.44719591879636267 |
 m 40 | t 2.3228586780605838 | y 0.4297946995333204 |
 m 120 | t 2.36298820306547 | y 0.38385621692531147 |
 m 140 | t 2.3731322730891407 | y 0.26329048620317197 |
 m 340 | t 2.472471507033333 | y 0.1958928837883449 |
 m 500 | t 2.551777492975816 | y 0.19302472335157084 |
 m 600 | t 2.6013160570291802 | y 0.17190208178610977 |
 m 680 | t 2.640965393045917 | y 0.023510585308394893 |
 m 1000 | t 2.799023987026885 | y 0.023510585308394893 |

 fun P-04 | nbb 25 |

 m 25 | t 2.0598137370543554 | y 0.6407128094660164 |
 m 50 | t 2.0731141039868817 | y 0.5682245624201293 |
 m 75 | t 2.084558758069761 | y 0.4836470642642341 |
 m 250 | t 2.1631450810236856 | y 0.424359064768583 |
 m 325 | t 2.196887811063789 | y 0.4056436116729941 |
 m 350 | t 2.2082027890719473 | y 0.39704778175065325 |
 m 400 | t 2.230739557999186 | y 0.32404282852902466 |
 m 500 | t 2.2756298390449956 | y 0.30357747850285655 |
 m 725 | t 2.3936358430655673 | y 0.22585113808914115 |
 m 1000 | t 2.5173781299963593 | y 0.22585113808914115 |

 fun P-04 | nbb 30 |

 m 30 | t 2.090310430037789 | y 0.5588308108689262 |
 m 60 | t 2.1052257959963754 | y 0.29282144337777716 |
 m 180 | t 2.156321168062277 | y 0.1695627406571668 |
 m 540 | t 2.30851022596471 | y 0.13257966834659196 |
 m 930 | t 2.4732906699646264 | y 0.0951533981719268 |
 m 1020 | t 2.511354092042893 | y 0.0951533981719268 |

 fun P-04 | nbb 35 |

 m 35 | t 2.0176728820661083 | y 0.893151824904758 |
 m 105 | t 2.0480413530021906 | y 0.7211457331382978 |
 m 280 | t 2.119200631044805 | y 0.5853483132962976 |
 m 875 | t 2.3599408430745825 | y 0.5828767139801976 |
 m 1015 | t 2.416275777039118 | y 0.5828767139801976 |

 fun P-04 | nbb 40 |

 m 40 | t 2.2667015709448606 | y 0.7816344789274947 |
 m 80 | t 2.2845694880234078 | y 0.554627088053506 |
 m 120 | t 2.3004585079615936 | y 0.37243818679922414 |
 m 200 | t 2.3318410289939493 | y 0.23751130187134162 |
 m 1000 | t 2.6432526849675924 | y 0.23751130187134162 |

 fun P-04 | nbb 45 |

 m 45 | t 2.0249588399892673 | y 0.21432445204357653 |
 m 1035 | t 2.400367771042511 | y 0.21432445204357653 |

 fun P-04 | nbb 50 |

 m 50 | t 2.0236848579952493 | y 0.7716954278660642 |
 m 200 | t 2.0814129599602893 | y 0.5774852495233189 |
 m 350 | t 2.1370000588940457 | y 0.5704419318587455 |
 m 400 | t 2.155608177999966 | y 0.3388165192920469 |
